,Est,time,max_d,mean_d,triangles
242,1.0,6281,4,4.0,50.0
243,1.0,9401,4,4.0,50.0
244,0.0001,9313,4,4.0,50.0
245,0.0001,5697,4,4.0,50.0
246,0.9999,7332,4,4.0,50.0
247,0.0001,12609,4,4.0,50.0
248,0.9999,5784,4,4.0,50.0
249,0.9999,4434,4,4.0,50.0
250,0.0001,9681,4,4.0,50.0
251,0.0001,10952,4,4.0,50.0
252,0.0001,7875,4,4.0,50.0
253,0.0,4495,4,4.0,50.0
254,0.0,15095,4,4.0,50.0
255,0.9999,6507,4,4.0,50.0
256,0.0001,10894,4,4.0,50.0
257,0.0001,38747,4,4.0,50.0
258,1.0,5163,4,4.0,50.0
259,0.0001,7256,4,4.0,50.0
260,0.9999,6738,4,4.0,50.0
261,0.9999,5622,4,4.0,50.0
262,0.0001,5224,4,4.0,50.0
263,1.0,8920,4,4.0,50.0
264,0.9999,1845,4,4.0,50.0
265,0.0001,9428,4,4.0,50.0
266,0.0001,18893,4,4.0,50.0
267,1.0,9617,4,4.0,50.0
268,0.9999,9649,4,4.0,50.0
269,0.0001,4931,4,4.0,50.0
270,0.9999,9538,4,4.0,50.0
271,0.0001,4300,4,4.0,50.0
272,0.0,5858,4,4.0,50.0
273,0.0001,12856,4,4.0,50.0
274,0.0,25995,4,4.0,50.0
275,1.0,8237,4,4.0,50.0
276,0.9999,9253,4,4.0,50.0
277,0.0001,4236,4,4.0,50.0
278,1.0,13910,4,4.0,50.0
279,0.0001,18684,4,4.0,50.0
280,1.0,12874,4,4.0,50.0
281,0.0001,3284,4,4.0,50.0
282,0.9999,6812,4,4.0,50.0
283,0.0001,3056,4,4.0,50.0
284,0.0001,4961,4,4.0,50.0
285,1.0,8550,4,4.0,50.0
286,0.0001,12651,4,4.0,50.0
287,0.9999,7913,4,4.0,50.0
288,1.0,3808,4,4.0,50.0
289,0.0,11006,4,4.0,50.0
290,0.0001,17766,4,4.0,50.0
291,0.9999,14211,4,4.0,50.0
292,1.0,12621,4,4.0,50.0
293,0.9999,15780,4,4.0,50.0
294,0.0,28450,4,4.0,50.0
295,1.0,5417,4,4.0,50.0
296,0.0001,8369,4,4.0,50.0
